reform_name,category,description,legal_plausibility_score,housing_supply_impact_score,commercial_impact_score,implementation_complexity_score,litigation_risk_score,political_difficulty_score,time_to_material_impact,primary_constraint_addressed,include_in_maximum_scenario,notes
State multifamily zoning floor in urbanized areas,zoning,"Mandate by-right multifamily on all parcels >=4,000 sqft within 0.5 mi of frequent transit, employment centers, and commercial corridors; floor binds notwithstanding charter-city home rule.",4,5,3,4,4,5,3-6 yrs,legal_capacity,True,"Statewide-concern doctrine sustains; SB 9/SB 35/SB 423 precedent. Charter cities have lost similar challenges (CHF v. Berkeley, Bldg Industry v. SF)."
Missing-middle by-right (4-12 unit buildings on residential parcels),zoning,"Allow fourplexes, sixplexes, cottage courts, townhomes, and small apartment buildings on parcels currently zoned R-1 or R-2 in urbanized areas, subject to objective standards.",4,4,2,3,3,5,3-7 yrs,legal_capacity,True,SB 9 narrow precedent. Auckland and Minneapolis comparators show modest but real production gains over 5-10 yrs.
Office/retail-to-residential by-right conversions,zoning,"Statewide ministerial approval for adaptive reuse of obsolete office, retail, hotel, and parking sites to residential, with objective standards on egress/seismic/fire only.",5,4,3,3,2,3,2-5 yrs,legal_capacity,True,AB 2011/AB 1633 trajectory. Cost economics depend on building geometry; not a silver bullet. Evidence: medium.
Religious and institutional land housing-by-right,zoning,"Allow housing on land owned by religious institutions, hospitals, universities, and nonprofits by right under objective standards (SB 4 expansion).",5,3,1,2,2,2,2-5 yrs,legal_capacity,True,SB 4 (Wiener) precedent already in force. Medium impact ceiling but politically tractable.
"Public-land housing fast-track (school, parks, surplus)",zoning,"All surplus public land in urbanized areas presumptively available for housing, with state Office of Land Use empowered to override local objections to specific parcels.",4,3,1,4,2,3,3-6 yrs,legal_capacity,True,Surplus Land Act extension. School-district land is politically thorny (Prop 39 history).
SB 79 transit-oriented density as floor not ceiling,zoning,Treat SB 79 TOD densities as floors that local governments cannot reduce; pre-empt local downzonings and overlay restrictions within station areas.,4,4,3,2,3,4,2-5 yrs,legal_capacity,True,SB 79 already enacted. The floor-not-ceiling framing is the binding question.
Ministerial approval with strict shot clocks and deemed-approved,permitting,60-day shot clock for ministerial review of qualifying projects; missed deadline = automatic approval. State backstop for repeated violations.,5,5,4,3,2,3,1-3 yrs,approvals,True,Permit Streamlining Act extension. SB 35/423 model. Strong evidence base.
Objective standards mandate for all residential review,permitting,"Bar discretionary design review, subjective neighborhood compatibility findings, and aesthetic veto for residential projects meeting objective standards.",5,4,2,3,2,3,2-4 yrs,approvals,True,Housing Accountability Act expansion. Empirical base: strong.
State permitting backstop office,permitting,"New state Office of Housing Approval with authority to issue binding approvals when local agencies miss deadlines, apply invalid standards, or repeatedly violate state law; escalating fines and deemed approvals.",4,5,3,5,3,4,2-5 yrs,anti_sabotage,True,Critical to making preemption real. Will be litigated; Sole-state-concern doctrine should hold.
CEQA exemption for infill housing and adaptive reuse,ceqa,"Statutory CEQA exemption for infill housing, mixed-use infill, and adaptive reuse meeting objective standards; preserves federal NEPA, Coastal Act, tribal consultation, and seismic/hazmat rules.",5,4,3,2,2,3,1-3 yrs,approvals,True,AB 130/SB 131 baseline trajectory. Single most impactful CEQA reform per project.
CEQA exemption for energy/grid/water/transit infrastructure,ceqa,"Categorical CEQA exemption for grid upgrades, transformer/substation installs, water/sewer rehab, bus-priority lanes, active transportation, and energy storage.",5,3,2,3,2,3,2-5 yrs,infrastructure,True,Necessary corollary to housing reforms. Bus-priority CEQA reform already partially enacted (SB 922).
Anti-CEQA-abuse: mandatory loser-pays in non-environmental CEQA suits,ceqa,"Where CEQA litigation is brought primarily for non-environmental purposes (NIMBY blocking, labor leverage), losing plaintiff pays defendant fees.",3,3,2,3,4,5,2-4 yrs,approvals,False,Politically toxic. Excluded from central scenario; useful only if courts uphold a narrower abuse standard.
Standardized statewide impact-fee schedule with nexus caps,fees_finance,"Cap impact fees at percent of project value or at evidentiary nexus, whichever is lower; require transparent fee schedules; no late-stage surprise fees.",5,3,2,3,2,3,2-4 yrs,construction_cost,True,AB 602 baseline. Real but second-order impact.
Inclusionary feasibility floor,fees_finance,"Cap inclusionary requirements at level shown by feasibility study to not block production; if local inclusionary kills feasibility, state defaults to lower percentage.",4,3,1,4,3,5,3-5 yrs,financing,False,Affordable-housing politics. Useful but excluded from central to keep coalition.
EIFD/IFD/CRIA expansion + state matching grants,fiscal_capture,Expand Enhanced Infrastructure Financing Districts and similar tools; state matches local infrastructure bonds in growth corridors; LA-share property tax increment can fund growth-enabling infrastructure.,5,3,3,4,1,3,3-7 yrs,fiscal_capture,True,"Post-redevelopment fiscal plumbing fix. Without it, growth dividend leaks."
Single-stair / point-access-block reform,building_code,"Allow single-stair multifamily up to 6 stories with sprinklers and modern egress, harmonized statewide.",5,3,1,3,1,2,2-5 yrs,construction_cost,True,"Seattle, Honolulu, Vancouver have done it. Modest cost reduction; widens feasibility envelope on small lots."
Modular and factory-built housing fast-track approvals,building_code,Statewide approval body for modular/factory-built housing types; pre-approved plans valid in any jurisdiction.,5,3,1,3,1,2,3-6 yrs,construction_cost,True,HCD already does some of this. Bigger upside if combined with construction-defect liability reform.
Statewide pattern-book multifamily designs,building_code,"Pre-approved multifamily building designs (3-, 4-, 6-plex, courtyard apartments) with standardized engineering; locals must accept by-right.",5,3,0,3,1,2,2-5 yrs,construction_cost,True,Reduces architecture/engineering cost on small projects substantially.
Construction-defect liability reform for condos,building_code,Cap statute of limitations and tort exposure on multifamily condo construction defects to make condo construction insurable again.,4,3,0,3,3,5,3-7 yrs,financing,True,"Plaintiffs bar opposition is intense. Without this, condo construction stays near zero."
Parking minimum elimination near transit and corridors,zoning,AB 2097 expansion: zero parking minimums on parcels within 0.5 mi of transit OR commercial corridors OR jobs centers; no de facto parking requirements via traffic study.,5,3,4,1,1,2,1-3 yrs,construction_cost,True,AB 2097 already does much of this. High leverage per unit cost.
LADWP/SCE/SoCalGas interconnection shot clock,infrastructure_utilities,60-day plan review and 120-day energization SLA for new multifamily; missed deadline = deemed-energized for occupancy purposes; CPUC enforcement; transparent capacity maps.,4,4,3,5,3,4,2-5 yrs,utilities,True,LADWP is municipal; legal mechanism differs (state utility regulation + LA charter). Most leveraged single utility reform.
State transformer procurement pool,infrastructure_utilities,State acts as group buyer/standardization body for distribution transformers; bulk-purchase contracts and stockpile reduce 18+ month lead times.,5,3,2,4,1,2,2-4 yrs,utilities,True,Federal IRA funding leverage. Direct binding constraint.
Coordinated trenching mandate (dig-once),infrastructure_utilities,Mandate joint trenching for water/sewer/electric/fiber in any street project; reduces serial outages and per-unit infrastructure cost.,5,2,2,4,1,2,3-7 yrs,infrastructure,True,Cost savings reinvest into capacity.
Pre-approved electrification packages for multifamily,infrastructure_utilities,Standardized electrical-service designs for common multifamily building types accepted by all utilities without bespoke plan review.,5,2,1,2,1,1,1-3 yrs,utilities,True,Quick win.
Restaurants/cafes/clinics by-right in commercial zones,commercial_smb,"Restaurants, cafes, bars, gyms, clinics, childcare, and small venues by-right in commercial and mixed-use zones, subject to objective health/fire/noise standards. CUP abuse limited.",5,1,5,2,2,3,1-3 yrs,approvals,True,Empirically weaker evidence base than housing reform — flag as medium-confidence.
Outdoor dining and small-venue by-right,commercial_smb,COVID-era outdoor dining permits made permanent statewide; small entertainment venues operable under objective noise/safety/operating-hours standards.,5,0,4,1,1,2,1-2 yrs,approvals,True,Politically popular. Real but modest impact.
Standardized statewide health/fire/building signoffs,commercial_smb,Single statewide form and timeline for tenant-improvement health/fire/building signoffs; eliminates duplicative city-county approval chains.,4,1,4,4,2,3,2-5 yrs,approvals,True,Legal collision risk: county health departments will resist.
CUP-abuse limit and formula-retail-ban preemption,commercial_smb,Limit conditional use permits as a discretionary commercial veto where state economic development policy is impaired; preempt formula-retail bans that conflict with statewide policy.,3,0,3,3,4,4,3-6 yrs,approvals,False,Charter-city / 1st amendment / local merchant politics. Excluded from central scenario.
State permitting surge teams and building-dept staffing grants,labor_delivery,"State pays for additional plan checkers, inspectors, and permit staff in jurisdictions with permit-velocity below threshold; surge teams deployable for backlog reduction.",5,3,2,3,1,1,1-3 yrs,approvals,True,"Cheap, fast, popular. Underrated reform."
Construction trades workforce expansion,labor_delivery,"Apprenticeship pipeline expansion for electricians, plumbers, elevator techs, inspectors, and utility crews; coordinated with community colleges and unions.",5,3,2,4,1,2,5-10 yrs,construction_cost,True,Long lead time; labor capacity caps everything.
Public infrastructure design-build authority,labor_delivery,"Permanent design-build authority for housing-enabling infrastructure (utilities, transit, streets); standardized P3 templates.",5,2,2,3,1,3,2-5 yrs,infrastructure,True,Procurement reform yields material time savings.
Anti-sabotage compliance audit and penalty regime,anti_sabotage,HCD authorized to audit local approval records; jurisdictions with documented sabotage face escalating fines and Builder's Remedy expansion.,4,3,1,4,3,4,3-6 yrs,anti_sabotage,True,"Necessary teeth; without it, cities comply on paper and obstruct in practice."
Coastal Act delegation reform for non-shoreline parcels,ceqa,Clarify Coastal Act jurisdiction so parcels beyond direct shoreline impact are not subject to Coastal Commission appeal; preserve genuine coastal protection.,3,2,1,4,4,5,5-10 yrs,approvals,False,Coastal Commission constitutionally protected; reform is hard. Excluded from central.
Insurance-market backstop for new multifamily,fees_finance,State reinsurance pool for builder's risk and condo construction insurance to reduce capital-market risk on new construction.,4,3,1,4,1,3,3-6 yrs,financing,False,Promising but new mechanism. Watch as separate track.
Property-tax allocation reform for growth,fiscal_capture,"Within Prop 13 1% cap, modify ERAF and post-1992 allocation rules so growth-impacted jurisdictions receive a larger share of new construction property tax — reduces fiscal misalignment.",4,2,1,5,3,5,5-10 yrs,fiscal_capture,False,Schools coalition opposition. Excluded from central; included only if politics shift.
